nom_annonce;url_annonce;prix;annee;kilometrage;puissance_cv;carburant;boite_vitesse;code_postal;age_voiture
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-e-208-136ch-style-13300-salon-de-provence-37178;16599;2022;57568;4;Electrique;Automatique;13;4
Renault Captur;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-full-hybrid-145ch-techno-51530-magenta-350564;28499;2025;3088;5;Hybride;Automatique;51;1
Dacia Duster;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-0-eco-g-100ch-extreme-13127-vitrolles-30425;24299;2025;4130;5;Gpl;Manuelle;13;1
Nissan Qashqai;https://www.autosphere.fr/fiche4/auto-occasion-nissan-qashqai-1-3-mild-hybrid-140ch-n-connecta-26000-valence-206496;23489;2022;13161;7;Essence;Manuelle;26;4
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-pack-eat8-79000-niort-1242897;15499;2023;36431;5;Essence;Automatique;79;3
Renault Captur;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-6-e-tech-full-hybrid-145ch-esprit-alpine-59640-dunkerque-601088;29999;2025;9729;5;Hybride;Automatique;59;1
Dacia Sandero;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-tce-90ch-stepway-expression-59470-wormhout-250769;14999;2023;33183;5;Essence;Manuelle;59;3
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-140ch-intens-21-02500-hirson-250468;17799;2021;29304;5;Hybride;Automatique;2;5
Mini Mini;https://www.autosphere.fr/fiche/auto-occasion-mini-mini-cooper-136ch-edition-camden-13100-aix-en-provence-919891;23499;2022;31256;7;Essence;Manuelle;13;4
Dacia Sandero;https://www.autosphere.fr/fiche4/auto-occasion-dacia-sandero-1-0-tce-90ch-stepway-essential-70000-vesoul-24580;14980;2024;26846;5;Essence;Manuelle;70;2
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-6-e-tech-140ch-business-21-93320-les-pavillons-sous-bois-p039955;14499;2021;30000;5;Hybride;Automatique;93;5
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-puretech-130ch-s-s-gt-eat8-64200-bassussarry-49871;20699;2008;59459;7;Essence;Automatique;64;18
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-02500-hirson-250391;14999;2023;27246;5;Essence;Manuelle;2;3
Mini Mini;https://www.autosphere.fr/fiche-mixte/auto-occasion-mini-mini-cooper-136ch-edition-camden-64100-bayonne-122343;21499;2022;42169;7;Essence;Manuelle;64;4
Renault Captur;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-6-e-tech-hybride-145ch-intens-21-13300-salon-de-provence-302829;18299;2022;77293;5;Hybride;Automatique;13;4
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-evolution-24-13730-saint-victoret-46203;21499;2025;14189;5;Hybride;Automatique;13;1
Dacia Duster;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-0-eco-g-100ch-journey-62110-henin-beaumont-241424;23599;2025;7616;5;Gpl;Manuelle;62;1
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-75ch-s-s-active-pack-79000-niort-1242507;11999;2023;35508;4;Essence;Manuelle;79;3
Nissan Qashqai;https://www.autosphere.fr/fiche4/auto-occasion-nissan-qashqai-1-3-mild-hybrid-140ch-business-edition-69200-venissieux-617676;20980;2023;36373;7;Essence;Manuelle;69;3
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-37170-chambray-les-tours-700607;14999;2024;25514;5;Essence;Manuelle;37;2
Renault Captur;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-0-tce-90ch-evolution-59640-dunkerque-600972;15999;2022;27125;5;Essence;Manuelle;59;4
Peugeot 208;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-allure-118g-38320-eybens-350109;11979;2021;73982;5;Essence;Manuelle;38;5
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-evolution-24-13730-saint-victoret-46027;19999;2024;11591;5;Hybride;Automatique;13;2
Mini Mini;https://www.autosphere.fr/fiche-mixte/auto-occasion-mini-mini-cooper-136ch-edition-premium-plus-bva7-86000-poitiers-250907;23999;2022;52202;7;Essence;Automatique;86;4
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-puretech-100ch-s-s-active-business-38000-grenoble-115507;13280;2008;56121;5;Essence;Manuelle;38;18
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-6-e-tech-hybride-145ch-evolution-59850-nieppe-250493;17999;2023;22496;5;Hybride;Automatique;59;3
Citroen C3;https://www.autosphere.fr/fiche/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-shine-86000-poitiers-12092149;10499;2022;68984;4;Essence;Manuelle;86;4
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-pack-eat8-79000-niort-1242895;15799;2023;29502;5;Essence;Automatique;79;3
