prix_reel,prix_pred,diff
16599,16599.0,0.0
28499,28499.0,0.0
24299,24299.0,0.0
23489,23489.0,0.0
15499,15499.0,0.0
29999,29999.0,0.0
14999,14999.0,0.0
17799,17799.0,0.0
23499,23499.0,0.0
14980,14980.0,0.0
14499,14499.0,0.0
20699,20699.0,0.0
14999,14999.0,0.0
21499,21499.0,0.0
18299,18299.0,0.0
21499,21499.0,0.0
23599,23599.0,0.0
11999,11999.0,0.0
20980,20980.0,0.0
14999,14999.0,0.0
15999,15999.0,0.0
11979,11979.0,0.0
19999,19999.0,0.0
23999,23999.0,0.0
13280,13280.0,0.0
17999,17999.0,0.0
10499,10499.0,0.0
15799,15799.0,0.0
33299,33299.0,0.0
15299,19499.0,4200.0
15999,18499.0,2500.0
14499,14499.0,0.0
14499,15799.0,1300.0
15980,15980.0,0.0
30799,30299.0,-500.0
16499,16499.0,0.0
13985,13985.0,0.0
19999,19999.0,0.0
36999,36999.0,0.0
15399,15399.0,0.0
12777,12777.0,0.0
24999,24999.0,0.0
23299,22649.0,-650.0
13799,13299.0,-500.0
29799,27787.0,-2012.0
11799,14999.0,3200.0
16499,16499.0,0.0
16999,16999.0,0.0
26999,26999.0,0.0
15999,15999.0,0.0
14499,14499.0,0.0
17486,12999.0,-4487.0
13199,13199.0,0.0
26899,26899.0,0.0
15936,15936.0,0.0
18979,18979.0,0.0
18999,14990.0,-4009.0
24579,24579.0,0.0
21499,21499.0,0.0
12980,12980.0,0.0
10499,10499.0,0.0
12499,12499.0,0.0
25499,25499.0,0.0
15499,16499.0,1000.0
19299,19299.0,0.0
18989,18989.0,0.0
14999,14999.0,0.0
10787,12979.0,2192.0
14499,14499.0,0.0
10499,10499.0,0.0
19499,19999.0,500.0
9499,9499.0,0.0
37986,37986.0,0.0
15439,16299.0,860.0
17999,17999.0,0.0
17799,17799.0,0.0
18799,18799.0,0.0
15399,15399.0,0.0
21999,21999.0,0.0
22499,22499.0,0.0
18187,18990.0,803.0
16980,16980.0,0.0
17699,17699.0,0.0
17980,17980.0,0.0
