prix_reel,prix_pred,diff
16599,17283.802376291533,684.8023762915327
28499,26741.262519631582,-1757.737480368418
24299,21181.340199594226,-3117.659800405774
23489,22925.136429566617,-563.8635704333828
15499,18984.196430050917,3485.196430050917
29999,25933.9506270003,-4065.0493729996997
14999,15427.07473727435,428.0747372743499
17799,22580.15592981172,4781.155929811721
23499,20725.421221440876,-2773.5787785591237
14980,16440.971821304985,1460.9718213049855
14499,22495.54682316041,7996.54682316041
20699,17839.320616247907,-2859.6793837520927
14999,16148.805004787064,1149.8050047870638
21499,19398.784467294638,-2100.2155327053624
18299,16989.92323232045,-1309.0767676795513
21499,25391.771581504818,3892.7715815048177
23599,20757.565277487214,-2841.434722512786
11999,12490.620561967327,491.6205619673274
20980,20346.914989977053,-633.0850100229472
14999,16602.896146103187,1603.8961461031868
15999,15919.97345344922,-79.02654655078004
11979,9980.27033276454,-1998.7296672354605
19999,25464.056060591258,5465.056060591258
23999,22131.088935029307,-1867.9110649706927
13280,8985.507764706756,-4294.492235293244
17999,23894.850931757177,5895.850931757177
10499,8177.576142577509,-2321.423857422491
15799,19826.51898750343,4027.5189875034303
33299,28012.412546701707,-5286.5874532982925
15299,16248.97440691448,949.9744069144799
15999,18262.354421100805,2263.3544211008048
14499,18037.968709348523,3538.9687093485227
14499,19757.348611519814,5258.348611519814
15980,21793.978333001844,5813.978333001844
30799,25066.22691123918,-5732.7730887608195
16499,17295.28271287404,796.2827128740391
13985,11759.90414495124,-2225.0958550487594
19999,20768.54623962441,769.5462396244111
36999,31681.713873325047,-5317.286126674953
15399,17866.319199877755,2467.3191998777547
12777,17351.324028151037,4574.324028151037
24999,22804.635215634247,-2194.3647843657527
23299,23899.397927396654,600.3979273966543
13799,17079.77004586873,3280.7700458687286
29799,26769.662102883078,-3029.3378971169222
11799,13892.384367709128,2093.384367709128
16499,16590.085259304687,91.0852593046875
16999,18105.269031290278,1106.2690312902778
26999,27114.952740674882,115.95274067488208
15999,22095.039877187566,6096.039877187566
14499,18686.157744184708,4187.157744184708
17486,20709.92403520088,3223.9240352008783
13199,12309.01238452593,-889.9876154740705
26899,23832.70291368428,-3066.2970863157207
15936,17280.924610181344,1344.9246101813442
18979,26462.171466580472,7483.171466580472
18999,16160.377318934343,-2838.622681065657
24579,30211.68801611092,5632.688016110918
21499,25356.88248149199,3857.88248149199
12980,13143.16699819576,163.16699819576024
10499,9943.351566605805,-555.6484333941953
12499,13725.60709689339,1226.607096893389
25499,25239.815570995994,-259.18442900400623
15499,17114.758972389558,1615.758972389558
19299,21284.249187028236,1985.2491870282356
18989,22795.447205500626,3806.4472055006263
14999,18571.273523830292,3572.273523830292
10787,15485.533954817485,4698.533954817485
14499,20302.0479293561,5803.0479293561
10499,9939.096798311559,-559.9032016884412
19499,12843.289717474952,-6655.710282525048
9499,9140.07971362885,-358.9202863711507
37986,31271.797339376444,-6714.202660623556
15439,24425.615047393803,8986.615047393803
17999,17444.83108456333,-554.1689154366686
17799,22721.075698166922,4922.075698166922
18799,15276.479597006615,-3522.520402993385
15399,16789.69467470908,1390.6946747090806
21999,24578.09173692061,2579.091736920611
22499,25827.946114069346,3328.9461140693456
18187,22330.636761443056,4143.6367614430565
16980,14439.473125436005,-2540.526874563995
17699,18448.081790998185,749.0817909981852
17980,19940.714924513417,1960.714924513417
27999,22816.20638676134,-5182.79361323866
18999,22357.66644526257,3358.66644526257
12499,13932.260608508906,1433.2606085089064
21499,24962.03998378586,3463.0399837858604
15499,22412.696625878016,6913.696625878016
17480,12861.844810382658,-4618.155189617342
19799,22648.758471142322,2849.7584711423224
16499,18142.346297854427,1643.3462978544267
26499,24670.527573225732,-1828.4724267742677
18986,25488.76517146679,6502.765171466792
14999,16666.184829367507,1667.1848293675066
23299,32700.342676446722,9401.342676446722
18999,19251.891961534267,252.89196153426747
15280,17534.73012168513,2254.73012168513
13299,11750.6089912778,-1548.3910087221993
24499,21422.767909090642,-3076.232090909358
31499,26628.357213598316,-4870.642786401684
19999,22021.125957863416,2022.1259578634163
29480,27237.876570424574,-2242.1234295754257
15499,22297.21005789131,6798.210057891309
19980,25846.1560618648,5866.1560618648
17900,18134.201455691156,234.2014556911563
20499,19673.96531641256,-825.0346835874407
10799,12312.846230160449,1513.8462301604486
15299,13949.239762446621,-1349.7602375533788
17499,22356.4507971785,4857.450797178499
21999,20386.58961160943,-1612.41038839057
18969,13766.773244164808,-5202.226755835192
13279,17008.23126462796,3729.2312646279606
12990,15382.577670436101,2392.5776704361015
19499,22622.556162781555,3123.556162781555
17280,17608.440582707357,328.44058270735695
20999,18867.672184075313,-2131.3278159246875
13299,12939.910815591418,-359.0891844085818
27999,25787.951292103422,-2211.048707896578
26499,25308.428332364616,-1190.571667635384
15499,17273.667834326192,1774.667834326192
17999,24930.614554154225,6931.614554154225
18980,12867.072097144162,-6112.927902855838
18799,15733.077357472506,-3065.9226425274937
27299,26397.43065954066,-901.5693404593403
18299,16337.660926586585,-1961.3390734134155
17989,18098.218272402664,109.2182724026643
12280,11716.725713399584,-563.2742866004155
14479,14559.045777013442,80.0457770134417
15299,16581.454157907785,1282.454157907785
13380,10432.641324425447,-2947.3586755745528
19499,22227.47482102122,2728.47482102122
21499,23898.790103354622,2399.7901033546223
21499,25335.00081597872,3836.000815978721
14799,17148.264277594146,2349.264277594146
22980,24278.144772664637,1298.1447726646365
16899,19148.4728190671,2249.472819067101
33499,29206.422094875845,-4292.577905124155
12678,10287.36121973964,-2390.6387802603604
25999,24178.726567837813,-1820.2734321621865
25499,21916.3191121751,-3582.6808878248994
16999,18982.28414105456,1983.2841410545589
18799,18949.361816276654,150.36181627665428
